,date,price,market_cap,volume
2339,2020-05-14 00:00:00+00:00,0.002552333,317877729.4,211321832.6
2340,2020-05-15 00:00:00+00:00,0.002608195,325137727.2,230680148.8
2341,2020-05-16 00:00:00+00:00,0.002472756,308034839.8,198862295.4
2342,2020-05-17 00:00:00+00:00,0.002515122,313347148.9,194713613.4
2343,2020-05-18 00:00:00+00:00,0.002559785,318304381.8,198445361.8
2344,2020-05-19 00:00:00+00:00,0.002544594,316949353.4,206083120.9
2345,2020-05-20 00:00:00+00:00,0.002546438,317354537.7,122220132.3
2346,2020-05-21 00:00:00+00:00,0.002492027,310868150.8,116334207.8
2347,2020-05-22 00:00:00+00:00,0.002417489,302016245.6,135564016.3
2348,2020-05-23 00:00:00+00:00,0.002521307,314467655.9,142767321.3
2349,2020-05-24 00:00:00+00:00,0.002532384,315817593.9,139842299.8
2350,2020-05-25 00:00:00+00:00,0.002425809,303756922.7,118180701.6
2351,2020-05-26 00:00:00+00:00,0.002501259,311963042.2,150073653.8
2352,2020-05-27 00:00:00+00:00,0.002507765,312807914.2,125833705.4
2353,2020-05-28 00:00:00+00:00,0.002551119,318220492.4,135729333.7
2354,2020-05-29 00:00:00+00:00,0.002565347,320030360.6,159726412.1
2355,2020-05-30 00:00:00+00:00,0.002501384,312085297.5,135246773.5
2356,2020-05-31 00:00:00+00:00,0.002604939,325041563.1,126050717.6
2357,2020-06-01 00:00:00+00:00,0.002554858,319088845.3,121116975.4
2358,2020-06-02 00:00:00+00:00,0.00270227,337261369.0,131305279.0
2359,2020-06-03 00:00:00+00:00,0.002525698,315259162.2,131645486.7
2360,2020-06-04 00:00:00+00:00,0.002592893,323695648.1,119884831.4
2361,2020-06-05 00:00:00+00:00,0.002608096,325652126.6,123499973.4
2362,2020-06-06 00:00:00+00:00,0.002585623,322847909.9,126285010.7
2363,2020-06-07 00:00:00+00:00,0.002584373,322823373.2,113261241.7
2364,2020-06-08 00:00:00+00:00,0.00259806,324470527.2,127789278.6
2365,2020-06-09 00:00:00+00:00,0.002578948,322119177.6,116658893.1
2366,2020-06-10 00:00:00+00:00,0.002557012,319414770.4,110545344.0
2367,2020-06-11 00:00:00+00:00,0.002579249,322228412.2,120182402.7
2368,2020-06-12 00:00:00+00:00,0.002447401,305790127.9,124324062.6
2369,2020-06-13 00:00:00+00:00,0.002506142,313164051.2,139660383.0
2370,2020-06-14 00:00:00+00:00,0.002528816,316032979.0,130467975.7
2371,2020-06-15 00:00:00+00:00,0.002494016,311717946.8,114283771.5
2372,2020-06-16 00:00:00+00:00,0.002471519,308939930.3,148884119.8
2373,2020-06-17 00:00:00+00:00,0.002482315,310325685.8,144231710.1
2374,2020-06-18 00:00:00+00:00,0.00247546,309629857.4,133883371.5
2375,2020-06-19 00:00:00+00:00,0.002459697,307564709.1,116189638.2
2376,2020-06-20 00:00:00+00:00,0.002444395,305034568.4,129030058.4
2377,2020-06-21 00:00:00+00:00,0.002450615,306496993.6,111854349.7
2378,2020-06-22 00:00:00+00:00,0.002443673,305662614.4,111928120.6
2379,2020-06-23 00:00:00+00:00,0.002477902,309978338.1,130949234.0
2380,2020-06-24 00:00:00+00:00,0.00247488,309300276.6,112014388.8
2381,2020-06-25 00:00:00+00:00,0.002420458,302858875.2,131959061.5
2382,2020-06-26 00:00:00+00:00,0.002409627,301536937.8,109759531.7
2383,2020-06-27 00:00:00+00:00,0.002357859,295428579.1,108353615.0
2384,2020-06-28 00:00:00+00:00,0.002298343,287701051.7,105652715.6
2385,2020-06-29 00:00:00+00:00,0.002315533,289858452.0,126780703.8
2386,2020-06-30 00:00:00+00:00,0.002309657,289081753.4,121204871.9
2387,2020-07-01 00:00:00+00:00,0.002315974,289978285.4,124372837.1
2388,2020-07-02 00:00:00+00:00,0.002358261,295473388.3,103350654.9
2389,2020-07-03 00:00:00+00:00,0.002327179,291344439.5,63481908.28
2390,2020-07-04 00:00:00+00:00,0.002305199,288759721.6,63141653.2
2391,2020-07-05 00:00:00+00:00,0.002310605,289659524.7,66586115.97
2392,2020-07-06 00:00:00+00:00,0.002305647,288823207.3,73147492.03
2393,2020-07-07 00:00:00+00:00,0.002600865,324376835.9,87267637.82
2394,2020-07-08 00:00:00+00:00,0.003052224,382479055.9,221702331.6
2395,2020-07-09 00:00:00+00:00,0.00474406,594339744.7,1160341960.0
2396,2020-07-10 00:00:00+00:00,0.004374596,548308638.7,430964505.4
2397,2020-07-11 00:00:00+00:00,0.003544287,446234010.2,277250306.1
2398,2020-07-12 00:00:00+00:00,0.003804777,476993604.7,201664365.3
2399,2020-07-13 00:00:00+00:00,0.003639311,456300095.8,129403955.6
2400,2020-07-14 00:00:00+00:00,0.003161029,393114320.5,179141961.7
2401,2020-07-15 00:00:00+00:00,0.003291632,412799771.1,140953982.8
2402,2020-07-16 00:00:00+00:00,0.003089114,387445086.6,109574218.6
2403,2020-07-17 00:00:00+00:00,0.002993475,376069213.0,119584581.5
2404,2020-07-18 00:00:00+00:00,0.003067465,384482519.6,120670354.2
2405,2020-07-19 00:00:00+00:00,0.003497214,441694537.2,245241741.1
2406,2020-07-20 00:00:00+00:00,0.003387694,425081838.3,183481047.8
2407,2020-07-21 00:00:00+00:00,0.003233985,405839356.5,158255255.4
2408,2020-07-22 00:00:00+00:00,0.003304789,414595539.2,150316468.6
2409,2020-07-23 00:00:00+00:00,0.003282826,412054060.2,103035469.5
2410,2020-07-24 00:00:00+00:00,0.003296238,413572228.8,108172720.4
2411,2020-07-25 00:00:00+00:00,0.003223852,404728572.1,112909917.1
2412,2020-07-26 00:00:00+00:00,0.003260945,410561866.7,111134958.6
2413,2020-07-27 00:00:00+00:00,0.003234498,406154075.0,106754750.7
2414,2020-07-28 00:00:00+00:00,0.003124243,392352069.9,116948209.7
2415,2020-07-29 00:00:00+00:00,0.003190183,401849911.4,101675133.6
2416,2020-07-30 00:00:00+00:00,0.003165246,398101909.3,96494494.64
2417,2020-07-31 00:00:00+00:00,0.003236619,406372448.4,97619245.17
2418,2020-08-01 00:00:00+00:00,0.003203694,402780720.3,87495378.94
2419,2020-08-02 00:00:00+00:00,0.003706901,467039121.4,189722237.0
2420,2020-08-03 00:00:00+00:00,0.003338535,420429350.2,134791619.6
2421,2020-08-04 00:00:00+00:00,0.003383427,425536506.2,107337870.2
2422,2020-08-05 00:00:00+00:00,0.003539728,444138455.1,119131130.3
2423,2020-08-06 00:00:00+00:00,0.003506588,440880176.6,118440406.7
2424,2020-08-07 00:00:00+00:00,0.003557507,446347339.2,106062512.0
2425,2020-08-08 00:00:00+00:00,0.00348046,437682076.3,172595668.7
2426,2020-08-09 00:00:00+00:00,0.003500841,440037973.0,174507223.3
2427,2020-08-10 00:00:00+00:00,0.003459179,435018819.3,156911879.5
2428,2020-08-11 00:00:00+00:00,0.003491412,438993651.6,165789779.0
2429,2020-08-12 00:00:00+00:00,0.003392916,426851729.6,166589721.1
2430,2020-08-13 00:00:00+00:00,0.003468203,435477570.9,192483772.7
2431,2020-08-14 00:00:00+00:00,0.003475584,436270064.5,186884064.6
2432,2020-08-15 00:00:00+00:00,0.003565642,448655549.2,168616112.5
2433,2020-08-16 00:00:00+00:00,0.003535862,444957534.8,139339381.5
2434,2020-08-17 00:00:00+00:00,0.003528348,444060855.3,153938645.2
2435,2020-08-18 00:00:00+00:00,0.003604679,453754467.1,156313175.6
2436,2020-08-19 00:00:00+00:00,0.003503307,441006364.9,164627570.4
2437,2020-08-20 00:00:00+00:00,0.003420762,430662605.6,156615204.1
2438,2020-08-21 00:00:00+00:00,0.003446781,433986248.3,173128139.1
2439,2020-08-22 00:00:00+00:00,0.003384307,426368126.7,175010652.3
2440,2020-08-23 00:00:00+00:00,0.003443644,433687186.9,159336753.4
2441,2020-08-24 00:00:00+00:00,0.003411937,429382341.7,137749412.3
2442,2020-08-25 00:00:00+00:00,0.00340308,427299862.0,155243881.1
2443,2020-08-26 00:00:00+00:00,0.003288978,414344679.0,156830695.3
2444,2020-08-27 00:00:00+00:00,0.003288437,414322072.1,170734081.2
2445,2020-08-28 00:00:00+00:00,0.003190146,402012074.8,169144169.7
2446,2020-08-29 00:00:00+00:00,0.003268351,411882061.8,183848935.6
2447,2020-08-30 00:00:00+00:00,0.003281164,413541572.6,193821341.1
2448,2020-08-31 00:00:00+00:00,0.003295589,414616017.2,176682135.6
2449,2020-09-01 00:00:00+00:00,0.003215635,405652921.4,184353787.5
2450,2020-09-02 00:00:00+00:00,0.003233402,410342291.9,188077468.1
2451,2020-09-03 00:00:00+00:00,0.003091417,389604298.4,119362426.6
2452,2020-09-04 00:00:00+00:00,0.002787694,351549697.7,138600098.5
2453,2020-09-05 00:00:00+00:00,0.002897016,366711396.7,141872359.2
2454,2020-09-06 00:00:00+00:00,0.002742094,346063586.9,138532132.7
2455,2020-09-07 00:00:00+00:00,0.002772364,349731791.6,160023366.5
2456,2020-09-08 00:00:00+00:00,0.002826473,356752788.8,169336090.8
2457,2020-09-09 00:00:00+00:00,0.002769596,348215107.5,152411543.6
2458,2020-09-10 00:00:00+00:00,0.002778821,350661184.8,115436170.0
2459,2020-09-11 00:00:00+00:00,0.002812731,354979160.4,163488674.7
2460,2020-09-12 00:00:00+00:00,0.002786621,352758323.6,150887311.4
2461,2020-09-13 00:00:00+00:00,0.002820805,355632828.3,134048169.6
2462,2020-09-14 00:00:00+00:00,0.002778062,350719443.0,132954530.0
2463,2020-09-15 00:00:00+00:00,0.002794983,353129088.1,146588554.1
2464,2020-09-16 00:00:00+00:00,0.002838068,357370626.1,130436953.5
2465,2020-09-17 00:00:00+00:00,0.002820393,356002619.0,155392568.2
2466,2020-09-18 00:00:00+00:00,0.002816493,355887623.2,170633292.3
2467,2020-09-19 00:00:00+00:00,0.002780667,351370413.7,155984975.2
2468,2020-09-20 00:00:00+00:00,0.002786582,352026916.8,157760533.2
2469,2020-09-21 00:00:00+00:00,0.002771605,350172659.3,165563595.5
2470,2020-09-22 00:00:00+00:00,0.002620975,332685818.3,129491987.1
2471,2020-09-23 00:00:00+00:00,0.002646176,333107659.3,109840858.1
2472,2020-09-24 00:00:00+00:00,0.002541716,321232114.9,87446068.04
